id,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department
61,,23876,,,,"(217) 784-4540 - Voice",,,,,
62,,23877,,,,"(217) 784-4540 - Voice",,,,,
63,,30887,,,,"(217) 784-2607 - Voice - Social Services Contact",,,,,
64,,24050,,,,"(217) 620-2288 - Voice/Text - Stop The Violence Project",,,,,
65,,24074,,,,"(217) 328-6409 - Voice",,,,,
66,,102,,,,,,,,,
67,,24186,,,,"(217) 398-9077 - Voice",,,,,
68,,24189,,,,"(217) 398-9077 - Voice",,,,,
69,,24187,,,,"(217) 398-9077 - Voice",,,,,
70,,24190,,,,"(217) 398-9077 - Voice",,,,,
71,,24188,,,,"(217) 398-9077 - Voice",,,,,
72,,24191,,,,"(217) 398-9077 - Voice",,,,,
73,,1873,,,,"(888) 671-0300 - Voice",,,,,
74,,1874,,,,"(217) 398-3011 - Voice",,,,,
75,,1875,,,,"(217) 398-3011 - Voice",,,,,
76,,24256,,,,"(217) 892-6035 - Voice - Trisha Freeman, Contact",,,,,
77,,24285,,,,"(309) 212-2205 - Voice",,,,,
78,,24286,,,,"(309) 212-2205 - Voice",,,,,
79,,24333,,,,"(217) 344-1593 - Voice",,,,,
80,,24334,,,,"(217) 344-5091 - Voice",,,,,
81,,24336,,,,"(217) 384-3798 - Voice - Office",,,,,
82,,24386,,,,"(866) 364-6667 - Toll-free - 24/7",,,,,
83,,24391,,,,"(847) 205-4455 - Voice",,,,,
84,,24494,,,,"(309) 530-3327 - Voice",,,,,
85,,24618,,,,"(217) 431-8825 - 4 - Voice",,,,,
86,,11107,,,,"(217) 356-1351 - Voice - Regional Office",,,,,
87,,31706,,,,"(217) 356-1351 - Voice - Regional Office",,,,,
88,,30927,,,,"(309) 829-8703 - Voice",,,,,
89,,24750,,,,"(217) 721-2686 - Voice",,,,,
90,,24828,,,,"(217) 351-3722 - Voice - Champaign Unit School District #4",,,,,
91,,24829,,,,"(217) 351-3722 - Voice - Champaign Unit School District #4",,,,,
92,,24980,,,,"(217) 259-1237 - Voice - First.IL",,,,,
93,,25022,,,,"(855) 452-3526 - Voice - (855-IL-AFLAN)",,,,,
94,,25091,,,,"(815) 370-6147 - Voice",,,,,
95,,25092,,,,"(815) 370-6147 - Voice",,,,,
96,,25158,,,,"(815) 370-6147 - Voice",,,,,
97,,25216,,,,"(800) 676-2229 - Toll Free",,,,,
98,,25268,,,,"(847) 240-0027 - Voice",,,,,
99,,1848,,,,"(888) 510-2229 - Toll-free - (888-510-BABY) Crisis Number",,,,,
100,,25338,,,,"(217) 528-4713 - Voice",,,,,
101,,29726,,,,"(217) 528-4713 - Voice",,,,,
102,,29727,,,,"(217) 528-4713 - Voice",,,,,
103,,25597,,,,"(312) 726-5699 - Voice",,,,,
104,,25598,,,,"(312) 726-5699 - Voice",,,,,
105,,25599,,,,"(312) 726-5699 - Voice",,,,,
106,,25638,,,,"(800) 572-2275 - Toll-free - National Hotline",,,,,
107,,10421,,,,"(866) 436-7842 - Toll-free",,,,,
108,,30003,,,,"(217) 522-7016 - Voice/TTY - Springfield Office",,,,,
109,,14313,,,,"(217) 351-7744 - Voice",,,,,
110,,14314,,,,"(217) 351-7744 - Voice",,,,,
111,,14315,,,,"(217) 351-7744 - Voice",,,,,
112,,14316,,,,"(217) 351-7744 - Voice",,,,,
113,,14317,,,,"(217) 351-7744 - Voice",,,,,
114,,14319,,,,"(217) 351-7744 - Voice",,,,,
115,,21436,,,,"(800) 550-4900 - Toll-free - 24-Hour",,,,,
116,,26252,,,,"(708) 331-7370 - Voice",,,,,
117,,26474,,,,"(630) 758-2600 - Voice",,,,,
118,,30545,,,,"(217) 782-0244 - Voice - Office of the Governor",,,,,
119,,26697,,,,"(630) 443-9876 - Voice",,,,,
120,,26698,,,,"(630) 443-9876 - Voice",,,,,
121,,30266,,,,"(630) 443-9876 - Voice",,,,,
122,,26744,,,,"(217) 753-4117 - Voice",,,,,
123,,26745,,,,"(217) 753-4117 - Voice",,,,,
124,,30298,,,,"(217) 753-4117 - Voice",,,,,
125,,30299,,,,"(217) 753-4117 - Voice",,,,,
126,,30332,,,,"(855) 435-7693 - Toll-free - Family Support Hotline",,,,,
127,,26750,,,,"(800) 524-0795 - Toll-free - Within Illinois",,,,,
128,,26751,,,,"(800) 524-0795 - Toll-free - Within Illinois",,,,,
129,,30463,,,,"(217) 652-9611 - Voice - Administration",,,,,
130,,30464,,,,"(217) 652-9611 - Voice - Administration",,,,,
131,,26813,,,,"(312) 814-2420 - Voice",,,,,
132,,26814,,,,"(312) 814-2420 - Voice",,,,,
133,,26833,,,,"(630) 697-3544 - Voice/Text",,,,,
134,,30339,,,,"(630) 697-3544 - Voice/Text",,,,,
135,,30340,,,,"(630) 697-3544 - Voice/Text",,,,,
136,,26839,,,,"(847) 441-7200 - Voice",,,,,
137,,26841,,,,"(312) 836-5200 - Voice",,,,,
138,,26844,,,,"(312) 836-5200 - Voice",,,,,
139,,30375,,,,"(708) 430-7532 - Voice",,,,,
140,,30292,,,,"(800) 344-4867 - Toll-free",,,,,
141,,30016,,,,"(847) 205-4455 - Toll-free - Main Number - Leave Voice Mail for Telephone Support",,,,,
142,,2199,,,,"(877) 437-9588 - Toll-free",,,,,
143,,27790,,,,"(312) 922-2200 - Voice",,,,,
144,,27791,,,,"(312) 922-2200 - Voice",,,,,
145,,27939,,,,"(312) 251-1680 - Voice",,,,,
146,,29785,,,,"(312) 251-1680 - Voice",,,,,
147,,29786,,,,"(312) 251-1680 - Voice",,,,,
148,,28419,,,,"(312) 822-6699 - Voice - Administrative Office",,,,,
149,,83,,,,"(800) 526-0844 - TTY - TTY Users",,,,,
150,,21064,,,,"(217) 867-2050 - Voice",,,,,
151,,930,,,,"(312) 651-7350 - Voice - IL Chapter (Chicago) Office",,,,,
152,,30427,,,,"(217) 893-3955 - Voice",,,,,
153,,31837,,,,"(217) 365-2857 - Voice",,,,,
154,,31838,,,,"(217) 365-2857 - Voice",,,,,
155,,932,,,,"(217) 352-6989 - Voice",,,,,
156,,223,,,,"(800) 252-8966 - Toll-free - Senior Helpline",,,,,
157,,10897,,,,"(800) 252-8966 - Toll-free - Senior Helpline",,,,,
158,,10898,,,,"(800) 252-8966 - Toll-free - Senior Helpline",,,,,
159,,14389,,,,"(217) 352-3536 - Voice",,,,,
160,,24410,,,,"(217) 352-3536 - Voice",,,,,
161,,5273,,,,"(217) 544-9470 - Voice",,,,,
162,,455,,,,"(800) 243-2437 - Toll-free - (800-AID-AIDS)",,,,,
163,,19786,,,,"(217) 352-5135 - Voice",,,,,
164,,784,,,,"(877) 725-0569 - Toll-free - Participants (Medicaid recipients only)",,,,,
165,,14405,,,,"(217) 398-5210 - Voice",,,,,
166,,17647,,,,"(217) 384-4390 - Voice - 24-Hour Hotline",,,,,
167,,6,,,,"(309) 677-7272 - Voice",,,,,
168,,95,,,,"(877) 272-7337 - Toll-free - Emergency Military Communications & Military Family Support",,,,,
169,,365,,,,"(309) 677-7272 - Voice",,,,,
170,,369,,,,"(800) 733-2767 - Toll-free - 1-800-RED CROSS",,,,,
171,,441,,,,"(309) 677-7272 - Voice",,,,,
172,,553,,,,"(309) 677-7272 - Voice",,,,,
173,,23255,,,,"(309) 662-0500 - Voice",,,,,
174,,23256,,,,"(309) 662-0500 - Voice",,,,,
175,,23257,,,,"(309) 662-0500 - Voice",,,,,
176,,23258,,,,"(309) 662-0500 - Voice",,,,,
177,,23259,,,,"(309) 662-0500 - Voice",,,,,
178,,23260,,,,"(309) 662-0500 - Voice",,,,,
179,,14331,,,,"(217) 280-4019 - Voice - Retail Store",,,,,
180,,14333,,,,"(217) 503-0456 - Voice - Career Center",,,,,
181,,937,,,,"(773) 444-0305 - Voice",,,,,
182,,9628,,,,"(773) 444-0305 - Voice",,,,,
183,,24917,,,,"(773) 444-0305 - Voice",,,,,
184,,24918,,,,"(773) 444-0305 - Voice",,,,,
185,,335,,,,"(800) 222-1222 - National Toll-free - 24 hours",,,,,
186,,23053,,,,"(309) 557-1400 - Voice - Adult and pediatric primary health care services",,,,,
187,,1737,,,,"(877) 557-2672 - Voice - LLS Financial Assistance Programs",,,,,
188,,1738,,,,,,,,,
189,,25021,,,,"(844) 565-2269 - Voice - Travel Assistance Direct Line",,,,,
190,,142,,,,"(800) 851-2166 - Toll-free",,,,,
191,,17622,,,,"(800) 851-2166 - Toll-free",,,,,
192,,13994,,,,"(800) 586-4872 - Toll-free - 800-LUNG-USA",,,,,
193,,15142,,,,"(800) 586-4872 - Toll-free - 800-LUNG-USA",,,,,
194,,212,,,,"(800) 252-2873 - Toll-free - Child Abuse Hotline (1-800-25-ABUSE)",,,,,
195,,29658,,,,"(217) 607-1906 - Voice",,,,,
196,,406,,,,"(217) 693-7958 - Voice",,,,,
197,,30136,,,,"(217) 356-1879 - Voice",,,,,
198,,670,,,,"(815) 756-5633 - Voice",,,,,
199,,1459,,,,"(815) 756-5633 - Voice",,,,,
200,,1646,,,,"(815) 756-5633 - Voice",,,,,
201,,12627,,,,"(815) 756-5633 - Voice",,,,,
202,,12628,,,,"(815) 756-5633 - Voice",,,,,
203,,30831,,,,"(217) 377-9273 - Voice - Last Sun/month, 1-4 pm.",,,,,
204,,31307,,,,,,,,,
205,,13419,,,,"(800) 252-8966 - Toll-free - Senior Helpline",,,,,
206,,14388,,,,"(217) 352-3536 - Voice",,,,,
207,,264,,,,"(217) 352-7151 - Voice - Administration",,,,,
208,,13217,,,,"(217) 384-4390 - Voice - 24-Hour Hotline",,,,,
209,,13218,,,,"(217) 384-4390 - Voice - 24-Hour Hotline",,,,,
210,,13219,,,,"(217) 384-4390 - Voice - 24-Hour Hotline",,,,,
211,,13220,,,,"(217) 384-4390 - Voice - 24-Hour Hotline",,,,,
212,,13221,,,,"(217) 384-4390 - Voice - 24-Hour Hotline",,,,,
213,,15199,,,,"(217) 352-7151 - Voice - Administration",,,,,
214,,866,,,,"(309) 677-7272 - Voice",,,,,
215,,1576,,,,"(309) 677-7272 - Voice",,,,,
216,,14253,,,,"(877) 272-7337 - Toll-free - Emergency Military Communications & Military Family Support",,,,,
217,,21716,,,,"(309) 677-7272 - Voice",,,,,
218,,23251,,,,"(309) 662-0500 - Voice",,,,,
219,,23252,,,,"(309) 662-0500 - Voice",,,,,
220,,23253,,,,"(309) 662-0500 - Voice",,,,,
221,,23254,,,,"(309) 662-0500 - Voice",,,,,
222,,20878,,,,"(217) 503-6076 - Voice - Retail Store",,,,,
223,,288,,,,"(800) 444-3338 - Toll-free",,,,,
224,,384,,,,"(217) 331-2923 - Voice",,,,,
225,,304,,,,"(309) 589-7033 - Voice - Peoria",,,,,
226,,308,,,,"(800) 477-8191 - National Toll-free",,,,,
227,,30703,,,,"(309) 684-3795 - Voice",,,,,
228,,206,,,,"(800) 426-0709 - Toll-free",,,,,
229,,362,,,,"(888) 425-2666 - National Toll-free - Meeting line available 24/7",,,,,
230,,13754,,,,"(866) 794-8515 - Toll-free - Champaign Answering Service",,,,,
231,,12872,,,,"(217) 352-3536 - 2 - Voice",,,,,
232,,667,,,,"(309) 691-6906 - Voice",,,,,
233,,24143,,,,"(217) 530-4040 - Voice",,,,,
234,,25007,,,,"(217) 530-4040 - Voice",,,,,
235,,25008,,,,"(217) 530-4040 - Voice",,,,,
236,,30734,,,,"(217) 530-4040 - Voice",,,,,
237,,765,,,,,,,,,
238,,13791,,,,"(800) 244-5631 - Toll-free",,,,,
239,,31085,,,,"(800) 244-5631 - Toll-free",,,,,
240,,16267,,,,"(800) 539-0475 - Toll-free - 24/7 Helpline",,,,,
241,,22419,,,,"(800) 539-0475 - Toll-free - 24/7 Helpline",,,,,
242,,9641,,,,"(217) 443-2999 - Voice",,,,,
243,,22823,,,,"(217) 443-2999 - Voice",,,,,
244,,1711,,,,"(217) 352-5100 - Voice - Senior Resource Center",,,,,
245,,5256,,,,"(217) 352-0099 - Voice - Self-Help Center",,,,,
246,,13415,,,,"(217) 352-5100 - Voice - Senior Resource Center",,,,,
247,,30423,,,,"(217) 359-6500 - Voice - RSVP (Retired & Senior Volunteer Program)",,,,,
248,,30425,,,,"(217) 359-6500 - Voice - RSVP (Retired & Senior Volunteer Program)",,,,,
249,,905,,,,"(877) 969-0010 - National Toll-free",,,,,
250,,10646,,,,,,,,,
251,,16749,,,,"(309) 662-8392 - Voice",,,,,
252,,16750,,,,"(309) 662-8392 - Voice",,,,,
253,,16751,,,,"(888) 572-8566 - MedicAlert & Safe Return Hotline",,,,,
254,,16752,,,,"(309) 662-8392 - Voice",,,,,
255,,16753,,,,"(309) 662-8392 - Voice",,,,,
256,,122,,,,"(800) 252-2873 - Toll-free - 24-hour Abuse/Neglect Reporting Hotline",,,,,
257,,24622,,,,"(800) 232-3798 - Toll-free - Youth Hotline/Advocacy",,,,,
258,,1067,,,,"(800) 252-2873 - Toll-free - 24-hour Abuse/Neglect Reporting Hotline",,,,,
259,,24629,,,,"(217) 278-5400 - Voice",,,,,
260,,24837,,,,"(217) 278-5400 - Voice",,,,,
261,,1178,,,,"(217) 278-5605 - Voice",,,,,
262,,1179,,,,"(217) 278-5605 - Voice",,,,,
263,,2314,,,,"(618) 382-4165 - Voice - Residential Care",,,,,
264,,10772,,,,"(618) 242-4944 - Voice",,,,,
265,,2338,,,,"(800) 723-3546 - Toll-free - Enrollment and Plan Changes Support",,,,,
266,,11128,,,,"(800) 758-0464 - Toll-free",,,,,
267,,58,,,,"(309) 451-9495 - Voice",,,,,
268,,14308,,,,"(217) 403-0790 - Voice",,,,,
269,,14309,,,,"(217) 403-0790 - Voice",,,,,
270,,14411,,,,"(217) 356-9076 - Voice",,,,,
271,,31173,,,,"(217) 356-9076 - Voice",,,,,
272,,1071,,,,"(217) 278-3500 - Voice",,,,,
273,,1100,,,,"(217) 278-3500 - Voice",,,,,
274,,1606,,,,"(217) 278-3500 - Voice",,,,,
275,,15266,,,,"(217) 278-3500 - Voice",,,,,
276,,16245,,,,"(217) 278-3500 - Voice",,,,,
277,,401,,,,"(626) 960-3500 - Voice - Administrative",,,,,
278,,5183,,,,"(217) 384-4444 - Voice - Rape Crisis Hotline",,,,,
279,,13061,,,,"(217) 384-4444 - Voice - Rape Crisis Hotline",,,,,
280,,13062,,,,"(217) 344-6298 - Voice - Business",,,,,
281,,13063,,,,"(217) 384-4444 - Voice - Rape Crisis Hotline",,,,,
282,,19395,,,,"(217) 384-4444 - Voice - Rape Crisis Hotline",,,,,
283,,5194,,,,"(651) 647-9712 - Voice",,,,,
284,,650,,,,"(800) 252-8966 - Senior Helpline",,,,,
285,,9913,,,,"(800) 252-8966 - Senior Helpline",,,,,
286,,15373,,,,"(800) 252-8966 - Senior Helpline",,,,,
287,,13284,,,,"(217) 344-6214 - Voice",,,,,
288,,13789,,,,"(800) 244-5631 - Toll-free",,,,,
289,,13790,,,,"(312) 793-1597 - Voice - RESP Hotline",,,,,
290,,1712,,,,"(217) 352-5100 - Voice - Senior Resource Center",,,,,
291,,2222,,,,"(217) 352-5100 - Voice - Senior Resource Center",,,,,
292,,2224,,,,"(217) 352-5100 - Voice - Senior Resource Center",,,,,
293,,2225,,,,"(217) 352-5100 - Voice - Senior Resource Center",,,,,
294,,5252,,,,"(217) 352-0099 - Voice - Family Service",,,,,
295,,5253,,,,"(217) 352-5100 - Voice - Senior Resource Center",,,,,
296,,22584,,,,"(217) 789-2830 - Voice",,,,,
297,,942,,,,"(217) 893-3219 - Voice",,,,,
298,,15167,,,,"(217) 893-3219 - Voice",,,,,
299,,15169,,,,"(217) 893-3219 - Voice",,,,,
300,,29328,,,,"(217) 893-3219 - Voice",,,,,
301,,15168,,,,"(217) 239-0322 - Voice",,,,,
302,,16748,,,,"(309) 662-8392 - Voice",,,,,
303,,13757,,,,"(217) 398-6511 - Voice",,,,,
304,,13758,,,,"(217) 398-6511 - Voice",,,,,
305,,14419,,,,"(217) 398-6511 - Voice",,,,,
306,,22336,,,,"(217) 398-6511 - Voice",,,,,
307,,1449,,,,"(217) 378-7100 - Voice",,,,,
308,,16535,,,,"(217) 378-7100 - Voice",,,,,
309,,1073,,,,"(800) 226-0768 - Toll-free",,,,,
310,,1079,,,,"(800) 683-9793 - Toll-free - Frontier Customers",,,,,
311,,1180,,,,"(217) 278-5605 - Voice",,,,,
312,,2099,,,,"(217) 278-5605 - Voice",,,,,
313,,2100,,,,"(800) 447-4278 - Toll-free - Child Support Hotline",,,,,
314,,2101,,,,"(217) 278-5605 - Voice",,,,,
315,,12771,,,,"(217) 278-5605 - Voice",,,,,
316,,15284,,,,"(217) 278-5605 - Voice",,,,,
317,,31931,,,,"(217) 278-5605 - Voice",,,,,
318,,33,,,,"(800) 368-1463 - Toll-free - Abuse Reporting Hotline",,,,,
319,,14310,,,,"(217) 403-0790 - Voice",,,,,
320,,30855,,,,"(217) 403-0790 - Voice",,,,,
321,,14971,,,,"(630) 577-1330 - Hotline",,,,,
322,,14408,,,,"(217) 356-9076 - Voice",,,,,
323,,14409,,,,"(217) 356-9076 - Voice",,,,,
324,,14410,,,,"(217) 356-9076 - Voice",,,,,
325,,4936,,,,"(217) 554-3000 - Voice",,,,,
326,,5121,,,,"(800) 899-4722 - Toll-free",,,,,
327,,5135,,,,"(309) 828-3406 - Voice",,,,,
328,,923,,,,"(217) 735-2985 - Voice - Lisa Bobb",,,,,
329,,5196,,,,"(800) 550-4772 - Voice/TTY",,,,,
330,,936,,,,"(630) 933-4392 - Voice - Main",,,,,
331,,16473,,,,"(630) 933-4392 - Voice - Main",,,,,
332,,5312,,,,"(630) 207-8479 - Voice",,,,,
333,,31231,,,,"(630) 207-8479 - Voice",,,,,
334,,5313,,,,"(217) 782-4977 - Voice - Administrative-Main Number",,,,,
335,,18480,,,,"(800) 252-4343 - Toll-free - Central Complaint Registry Hotline",,,,,
336,,22100,,,,"(217) 782-4977 - Voice - Administrative-Main Number",,,,,
337,,24886,,,,"(888) 522-1282 - Toll-free - Women's Health Line",,,,,
338,,31509,,,,"(800) 889-3931 - Toll-free - COVID-19 Hotline",,,,,
339,,31832,,,,"(800) 889-3931 - Toll-free - COVID-19 Hotline",,,,,
340,,22801,,,,"(217) 782-6554 - Voice",,,,,
341,,22802,,,,"(217) 782-6554 - Voice",,,,,
342,,21865,,,,"(800) 373-1700 - Toll-free - Outside Champaign County",,,,,
343,,70,,,,"(800) 543-1770 - Toll-free",,,,,
344,,10608,,,,"(217) 359-8022 - Voice",,,,,
345,,10609,,,,"(217) 359-8022 - Voice",,,,,
346,,10610,,,,"(217) 359-8022 - Voice",,,,,
347,,10611,,,,"(217) 359-8022 - Voice",,,,,
348,,14265,,,,"(217) 359-8022 - Voice",,,,,
349,,14266,,,,"(217) 359-8022 - Voice",,,,,
350,,18441,,,,"(217) 544-0842 - Voice",,,,,
351,,18461,,,,"(217) 544-0842 - Voice",,,,,
352,,24294,,,,,,,,,
353,,134,,,,"(866) 274-8023 - Toll-free - Central Intake",,,,,
354,,620,,,,"(866) 274-8023 - Toll-free - Central Intake",,,,,
355,,1724,,,,"(866) 274-8023 - Toll-free - Central Intake",,,,,
356,,31280,,,,"(217) 443-2955 - Voice",,,,,
357,,31281,,,,"(217) 443-2955 - Voice",,,,,
358,,31282,,,,"(217) 443-2955 - Voice",,,,,
359,,31283,,,,"(217) 443-2955 - Voice",,,,,
360,,31284,,,,"(217) 443-2955 - Voice",,,,,
361,,13755,,,,"(217) 355-6396 - Voice",,,,,
362,,10791,,,,"(217) 528-3314 - Voice",,,,,
363,,10508,,,,"(217) 585-1180 - Voice",,,,,
364,,14179,,,,"(800) 325-5516 - Toll-free",,,,,
365,,11395,,,,"(217) 637-1343 - Voice",,,,,
366,,11397,,,,"(217) 637-1343 - Voice",,,,,
367,,12264,,,,"(773) 871-2273 - Voice - LGBTQ Violence Resource Line",,,,,
368,,30572,,,,"(773) 871-2273 - Voice - LGBTQ Violence Resource Line",,,,,
369,,11769,,,,"(217) 782-2438 - Voice",,,,,
370,,12280,,,,"(312) 939-8622 - Voice",,,,,
371,,14416,,,,"(217) 278-3366 - Voice",,,,,
372,,14417,,,,"(866) 566-8439 - Toll-free - Illinois AVN",,,,,
373,,21671,,,,"(866) 999-5630 - Toll-free - Identity Theft Hotline",,,,,
374,,12571,,,,"(617) 287-7307 - Voice",,,,,
375,,14656,,,,"(217) 373-8200 - Voice",,,,,
376,,12748,,,,"(217) 875-0833 - Voice",,,,,
377,,13195,,,,"(309) 682-6600 - Voice",,,,,
378,,1975,,,,"(217) 355-4446 - Voice",,,,,
379,,1976,,,,"(217) 355-4446 - Voice",,,,,
380,,1977,,,,"(217) 355-4446 - Voice",,,,,
381,,5407,,,,"(855) 932-0002 - Toll-free",,,,,
382,,5408,,,,"(855) 932-0002 - Toll-free",,,,,
383,,14520,,,,"(217) 328-5112 - Voice",,,,,
384,,14521,,,,"(217) 328-5112 - Voice",,,,,
385,,513,,,,"(211) - Voice",,,,,
386,,468,,,,"(800) 543-1770 - Toll-free",,,,,
387,,587,,,,"(800) 543-1770 - Toll-free",,,,,
388,,314,,,,"(217) 698-3838 - Voice",,,,,
389,,29862,,,,"(217) 698-3838 - Voice",,,,,
390,,1522,,,,"(217) 359-8022 - Voice",,,,,
391,,10606,,,,"(217) 359-8022 - Voice",,,,,
392,,10607,,,,"(217) 359-8022 - Voice",,,,,
393,,128,,,,"(309) 829-2065 - Voice",,,,,
394,,864,,,,"(309) 829-2065 - Voice",,,,,
395,,22493,,,,"(309) 829-2065 - Voice",,,,,
396,,10,,,,"(708) 236-0863 - Voice",,,,,
397,,16412,,,,"(217) 637-2395 - Voice",,,,,
398,,22038,,,,"(217) 637-2395 - Voice",,,,,
399,,22039,,,,"(217) 637-2395 - Voice",,,,,
400,,22040,,,,"(217) 637-2395 - Voice",,,,,
401,,22041,,,,"(217) 637-2395 - Voice",,,,,
402,,19524,,,,"(866) 274-8023 - Toll-free - Central Intake",,,,,
403,,19525,,,,"(866) 274-8023 - Toll-free - Central Intake",,,,,
404,,19526,,,,"(866) 274-8023 - Toll-free - Central Intake",,,,,
405,,9948,,,,"(217) 443-2955 - Voice",,,,,
406,,15864,,,,"(217) 443-2955 - Voice",,,,,
407,,31277,,,,"(217) 443-2955 - Voice",,,,,
408,,31278,,,,"(217) 443-2955 - Voice",,,,,
409,,31279,,,,"(217) 443-2955 - Voice",,,,,
410,,10509,,,,"(217) 585-1180 - Voice",,,,,
411,,31298,,,,"(217) 585-1180 - Voice",,,,,
412,,31299,,,,"(217) 585-1180 - Voice",,,,,
413,,11180,,,,"(800) 822-7972 - Toll-free",,,,,
414,,11316,,,,"(800) 325-5516 - Toll-free",,,,,
415,,11317,,,,"(800) 325-5516 - Toll-free",,,,,
416,,12343,,,,"(847) 294-5877 - Voice",,,,,
417,,29753,,,,"(847) 294-5877 - Voice",,,,,
418,,899,,,,"(309) 820-0230 - Voice",,,,,
419,,15622,,,,,,,,,
420,,22476,,,,"(309) 691-5938 - Voice",,,,,
421,,14413,,,,"(800) 243-0618 - Toll-free - Consumer Fraud Hotline",,,,,
422,,14414,,,,"(800) 228-3368 - Toll-free - Crime Victims Assistance Line",,,,,
423,,14415,,,,"(217) 278-3366 - Voice",,,,,
424,,12751,,,,"(217) 875-0833 - Voice",,,,,
425,,1978,,,,"(217) 355-4446 - Voice",,,,,
426,,17389,,,,"(217) 355-4446 - Voice",,,,,
427,,17418,,,,"(217) 355-4446 - Voice",,,,,
428,,17419,,,,"(217) 355-4446 - Voice",,,,,
429,,14923,,,,"(217) 356-7291 - Voice",,,,,
430,,14928,,,,"(217) 446-9377 - Voice",,,,,
431,,15109,,,,"(217) 366-8130 - Voice - Convenient Care",,,,,
432,,15111,,,,"(217) 366-8130 - Voice - Convenient Care",,,,,
433,,22825,,,,"(217) 366-8130 - Voice - Convenient Care",,,,,
434,,22826,,,,"(217) 366-8130 - Voice",,,,,
435,,13583,,,,"(877) 819-2593 - Toll-free",,,,,
436,,13584,,,,"(877) 819-2593 - Toll-free",,,,,
437,,13585,,,,"(877) 819-2593 - Toll-free",,,,,
438,,13586,,,,"(877) 819-2593 - Toll-free",,,,,
439,,30051,,,,"(877) 819-2593 - Toll-free",,,,,
440,,1466,,,,"(800) 359-2163 - Toll-free",,,,,
441,,31510,,,,"(800) 359-2163 - Toll-free",,,,,
