id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses,taxonomy_ids
18,10100,,"Psychiatric Disorder Counseling","Individual/Family Therapy","CRCC is a multi-service community behavioral health center. Professionally trained therapists provide therapy and counseling for children, adolescents, and adults. Treatment interventions can be provided to individuals, families, or groups, based on the needs of those involved. Behavioral health issues treated include:
- Depression.
- Grief.
- Anxiety.
- Phobias.
- Life stresses.
- Marital issues.
- Adjustment problems.
- Parent-child issues.
- ADHD.
- Bipolar disorder.
- Schizophrenia.
- Domestic violence.
- Sexual abuse.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
19,10100,,"General Psychiatry","Psychiatric Services","CRCC provides psychiatric services for children and adults with board-ceritified psychiatrists for individuals who may be in need of psychotropic medication or assistance in the evalutation and maintenance of their medication.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
20,10100,,"Case/Care Management * Chronic/Severe Mental Illness","Community Support Services","Community Support Services connects clients to support services to the community, such as assisting in obtaining resources for maintaining a stable and independent lifestyle.
",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",968511154801619
21,10100,,"Support Groups * Substance Use Disorders","Substance Abuse Therapy","Outpatient substance abuse therapy is available. A support group also meets on Tuesday evenings.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
22,10100,,"Anger Management","Freedom to Choose","Freedom to choose is a 16-week anger management program that offers group counseling to adults who have trouble managing their anger. The program teaches individuals to recognize their freedom to choose healthy approaches to anger, with practical application of living skills such as acceptance of responsibility, physical self-awareness, dynamics of control, assertive communication, stress reduction, conflict resolution, and responsible self-advocacy.",,,inactive,,"Call the register for the group.",,,,,
23,10100,,"Co-Parenting Workshops","Children In Between","CRCC offers a court approved education program for couples who are going through a divorce or separation. This class is designed to help parents learn how to put their children's needs first while going through this difficult time. This course includes the ""Children in the Middle"" parenting education curriculum and is held each month. The class meets one time for four hours. Call for times and registrion.",,,inactive,,"By phone.",,,,,
24,10100,,"Parenting Skills Classes","Parenting Classes","CRCC periodically offers parenting classes which are encouraged for any parent wishing to improve parenting skills.",,,inactive,,"Call to register for the class.",,,,,
25,10102,,"Youth Enrichment Programs","After School Enrichment Program","The Afterschool Enrichment Program serves scholars at several locations throughout Rantoul and Chicago. The program provides scholars one-to-one tutoring in the areas of math, science, technology, and language. Tap In staff and dedicated volunteers from the University of Illinois and Parkland College serve as mentor/tutors for the scholars. The curriculum is derived from Illinois State Standards, approved 4-H curriculum, and innovative S.T.E.A.M. (Science, Technology, Engineering, Art, and Mathematics) modules.",,,inactive,,"Walk-in to register.","Students must be attending one of the following schools:
- JW Eater Junior High School
- Broadmeadow Elementary School.
- Eastlawn Elementary School.
- Northview Elementary School.
- Pleasant Acres Elementary School.
- Chicago Perspectives Schools",,,,
26,10102,,"Tutoring Services * Youth","After School Enrichment Program","The Afterschool Enrichment Program serves scholars at several locations throughout Rantoul and Chicago. The program provides scholars one-to-one tutoring in the areas of math, science, technology, and language. Tap In staff and dedicated volunteers from the University of Illinois and Parkland College serve as mentor/tutors for the scholars. The curriculum is derived from Illinois State Standards, approved 4-H curriculum, and innovative S.T.E.A.M. (Science, Technology, Engineering, Art, and Mathematics) modules.",,,inactive,,"Walk-in to register.","Students must be attending one of the following schools:
- JW Eater Junior High School
- Broadmeadow Elementary School.
- Eastlawn Elementary School.
- Northview Elementary School.
- Pleasant Acres Elementary School.
- Chicago Perspectives Schools",,,,
27,10102,,"Day Camps","Summer Enrichment Program","Tap In Leadership Academy offers a relationship-centered, hands-on Summer Enrichment Program. Students embark on a multicultural journey, focusing on a different region of the world each week. Each enrichment activity is designed to expand on old skills, and develop new ones through creative, S.T.E.A.M. based activities. Students are given the opportunity to build new friendships, advance academic and literary achievement, release some energy outdoors, and incorporate leadership skills through the diverse, adventure-filled curriculum.",,,inactive,,Walk-in.,"Students have to attend Rantoul schools or Arcola Junior High and High School.",,,,
28,10102,,Preschools,"Tap In Prep Academy (TIPA)","Tap In Prep Academy is our Head Start School, specifically designed to serve the youngest members of our community, beginning at six weeks old. The goal of this program is to provide a solid foundation for academic success in kindergarten and beyond. TIPA provides educational foundations necessary for kindergarten readiness and incorporates Tap In’s style of culturally-relevant teaching to reflect the Tap In Way®: leadership development, cultural awareness, self-directed learning, tender loving care, and the Tap In tradition of a relationship-centered community.",,,inactive,,Walk-in.,"Six weeks old through Pre-K.",,,,
29,10159,,"Free School Supplies",,"Teh Center is the hub of the Community School Initiative which brings a variety of services and resources to communities, including: health services, counseling, tutoring, after school programs, mentoring, and exposure to college and career opportunities. They work together to meet the identified needs of students, families and communities in a way that is well organized and responsible for results. Call to see if free school supplies are available.",,,inactive,,"Call the Center or the child's home school.",,,,,
30,10287,,"Ex-Offender Reentry Programs",,"Services and program help reduce reoffending by equipping individuals and family through education, awareness, and prevention. Service includes U-Term offender reentry, 4Life Skills classes, and Ann's House transitional living for women on parole.",,,inactive,,"By phone for appointment.",,,,,
31,10287,,"Transitional Housing/Shelter * Ex-Offenders",,"Services and program help reduce reoffending by equipping individuals and family through education, awareness, and prevention. Service includes U-Term offender reentry, 4Life Skills classes, and Ann's House transitional living for women on parole.",,,inactive,,"By phone for appointment.",,,,,929094559121639
32,10289,,"Food Pantries","The Giving Place - Food Pantry","Choice food pantry and clothing available once per month for families in Unit 7 School District.",,,inactive,,"Walk-in during scheduled hours.","Families may access once per month.",,"Photo ID for residency confirmation.","150% of Federal Poverty Level.
",832990803111047
33,10289,,Clothing,"The Giving Place - Clothing Room","Free distribution of mens, womens, and childrens clothing to clients who live in Unit 7 school district and have qualifying income on their monthly visit.",,,inactive,,Walk-in.,"No restrictions.",,"Proof of residency.","150% of the Federal Poverty Level.",
34,10377,,"Homeless Shelter",,"Overnight Men's Shelter will provide snacks and breakfast to go, but no meals. Showers and laundry are not available (but are available at the Phoenix Daytime Drop-In Center).",,,inactive,,Walk-in.,,,,,
35,10396,,"Children's/Adolescent Residential Treatment Facilities",,"Comprehensive services including residential treatment, special education, and community-based services.",,,inactive,,"By phone.","For youth and families dealing with serious emotional and behavioral challenges.",,,,
36,10396,,"Vocational Rehabilitation","Vocational Options Program","Career Exploration, Assessment, and Planning: An individual assessment of interest and skills; Counseling on vocational options and development of a vocational plan.

Skill Development/Certificate: Skill development for work place employment through a nationally-recognized certificate that covers careers in the hospitality industry, 411 Disability Disclosure Training; and assistance to obtain Illinois Food Handler's Certificate

Job Advocacy and Placement: Assistance advocating for any accommodations needed for success in employment; Job coaching is provided as needed; Job placement in unpaid internships, volunteer opportunities, subsidized employment, and independent employment and Business Partners are established in Champaign, Urbana, Rantoul, Mahomet, and throughout Champaign County where our youth and young adults live.",,,inactive,,"By phone.","Youth and adults, ages 14 and up, who have emotional, behavioral, and mental health challenges.",,,,
37,10396,,"Independent Living Skills Instruction","ECHO Housing and Employment Support","Provides intensive case management for adults and families who are experiencing homelessness or are at risk of homelessness. Program will assist clients with obtaining and retaining stable housing and employment while developing essential life skills.

Cunningham also provides transitional and independent living for DCFS referrals.",,,inactive,,"By phone.","Adults and families experiencing homelessness or at risk of homelessness in Champaign County and who are willing to actively engage in intensive case management services.",,,,
38,10396,,"Case/Care Management * At Risk for Homelessness","ECHO Housing and Employment Support","Provides intensive case management for adults and families who are experiencing homelessness or are at risk of homelessness. Program will assist clients with obtaining and retaining stable housing and employment while developing essential life skills.

Cunningham also provides transitional and independent living for DCFS referrals.",,,inactive,,"By phone.","Adults and families experiencing homelessness or at risk of homelessness in Champaign County and who are willing to actively engage in intensive case management services.",,,,
39,10396,,"Case/Care Management * Homeless People","ECHO Housing and Employment Support","Provides intensive case management for adults and families who are experiencing homelessness or are at risk of homelessness. Program will assist clients with obtaining and retaining stable housing and employment while developing essential life skills.

Cunningham also provides transitional and independent living for DCFS referrals.",,,inactive,,"By phone.","Adults and families experiencing homelessness or at risk of homelessness in Champaign County and who are willing to actively engage in intensive case management services.",,,,
40,10396,,"Special Education","CIRCLE Academy","CIRCLE Academy Therapeutic Day Schools operate both in Urbana (Champaign County) and Rossville (Vermillion County). Students with behavioral and emotional challenges which prevent them from being successful in a public school environment will live with their families in surrounding communities. Using a therapeutic education model, the individual needs and strengths of each student are identified and built upon, both academically and behaviorally.",,,inactive,,"By phone.","Accepts students with any of the following disabilities:
- Emotional Disability (ED).
- Specific Learning Disability (SLD).
- Intellectual Disability (ID).
- Other Health Impairment (OHI).
- Autism Spectrum Disorder (ASD).
- Traumatic Brain Injury (TBI).
- Developmental Delay (DD).",,,,
41,10396,,"Special Education * Autism Spectrum Disorder","CIRCLE Academy","CIRCLE Academy Therapeutic Day Schools operate both in Urbana (Champaign County) and Rossville (Vermillion County). Students with behavioral and emotional challenges which prevent them from being successful in a public school environment will live with their families in surrounding communities. Using a therapeutic education model, the individual needs and strengths of each student are identified and built upon, both academically and behaviorally.",,,inactive,,"By phone.","Accepts students with any of the following disabilities:
- Emotional Disability (ED).
- Specific Learning Disability (SLD).
- Intellectual Disability (ID).
- Other Health Impairment (OHI).
- Autism Spectrum Disorder (ASD).
- Traumatic Brain Injury (TBI).
- Developmental Delay (DD).",,,,
42,10396,,"Special Education * Mental Illness/Emotional Disabilities","CIRCLE Academy","CIRCLE Academy Therapeutic Day Schools operate both in Urbana (Champaign County) and Rossville (Vermillion County). Students with behavioral and emotional challenges which prevent them from being successful in a public school environment will live with their families in surrounding communities. Using a therapeutic education model, the individual needs and strengths of each student are identified and built upon, both academically and behaviorally.",,,inactive,,"By phone.","Accepts students with any of the following disabilities:
- Emotional Disability (ED).
- Specific Learning Disability (SLD).
- Intellectual Disability (ID).
- Other Health Impairment (OHI).
- Autism Spectrum Disorder (ASD).
- Traumatic Brain Injury (TBI).
- Developmental Delay (DD).",,,,968511154801619
43,10396,,"Runaway/Youth Shelters","Runaway and  Homeless Youth Services for Champaign County","Provides outreach services, emergency shelter, and transitional living services for youth and young adults, age 14 to 24.",,,inactive,,"By phone.",,,,,
44,10396,,"Transitional Housing/Shelter * Young Adults * Youth","Runaway and  Homeless Youth Services for Champaign County","Provides outreach services, emergency shelter, and transitional living services for youth and young adults, age 14 to 24.",,,inactive,,"By phone.",,,,,929094559121639
45,10396,,"Adolescent/Youth Counseling * Attention Deficit/Hyperactivity Disorder","HopeSprings Counseling Services","HopeSprings Counseling Services offers counseling and wellness services for youth, adults, and families in the community who are experiencing difficulty in relationships, socialization, physical or mental wellness and emotional concerns. Following the mission of Cunningham Children's Home to nourish hope through effective solutions, HopeSprings' goal is not only to meet youth, adults, and families in an environment that leads to healing but, also, providing trauma-informed care that is focused on improving an individual's overall wellness rather than simply treating symptoms of mental health concerns.

Services/ counseling types include: 
- Individual counseling.
- Family counseling. 
- Group Sessions.
- School-based Services.
- Case Management.
- Wellness Coaching Services.
- ARC (attachment, self-regulation, and competency).
- Attachment Disorders.
- Attention Deficit Hyperactivity Disorder. 
- Child abuse, sex abuse, and neglect.
- Collaborative Problem-Solving.
- Domestic Violence and sexual assault. 
- Major depressive disorder, bi-polar disorder, and other mood disorders. 
- Neurosequential Model of Therapeutics (NMT). 
- Neurosequential Model of Education (NME).
- Oppositional Defiant and other Behavioral Disorders. 
- Parent/child relational issues.
- PTSD and other anxiety disorders.
- PracticeWise MAP.
- Chronic Stress. 
- Skills-streaming.
- Trauma-Informed Care (TIC).
- Trauma-Focused Cognitive Behavioral Therapy.",,,inactive,,"By phone.","All clients are considered on case by case to determine eligibility for services. Call for more information.",,"Photo ID, Proof of income, and insurance card will be needed at first appointment. Please note that a fee and client rights agreement will be signed at the date of first appointment.",,
46,10396,,"Child Abuse Counseling","HopeSprings Counseling Services","HopeSprings Counseling Services offers counseling and wellness services for youth, adults, and families in the community who are experiencing difficulty in relationships, socialization, physical or mental wellness and emotional concerns. Following the mission of Cunningham Children's Home to nourish hope through effective solutions, HopeSprings' goal is not only to meet youth, adults, and families in an environment that leads to healing but, also, providing trauma-informed care that is focused on improving an individual's overall wellness rather than simply treating symptoms of mental health concerns.

Services/ counseling types include: 
- Individual counseling.
- Family counseling. 
- Group Sessions.
- School-based Services.
- Case Management.
- Wellness Coaching Services.
- ARC (attachment, self-regulation, and competency).
- Attachment Disorders.
- Attention Deficit Hyperactivity Disorder. 
- Child abuse, sex abuse, and neglect.
- Collaborative Problem-Solving.
- Domestic Violence and sexual assault. 
- Major depressive disorder, bi-polar disorder, and other mood disorders. 
- Neurosequential Model of Therapeutics (NMT). 
- Neurosequential Model of Education (NME).
- Oppositional Defiant and other Behavioral Disorders. 
- Parent/child relational issues.
- PTSD and other anxiety disorders.
- PracticeWise MAP.
- Chronic Stress. 
- Skills-streaming.
- Trauma-Informed Care (TIC).
- Trauma-Focused Cognitive Behavioral Therapy.",,,inactive,,"By phone.","All clients are considered on case by case to determine eligibility for services. Call for more information.",,"Photo ID, Proof of income, and insurance card will be needed at first appointment. Please note that a fee and client rights agreement will be signed at the date of first appointment.",,
47,10396,,"Child Sexual Abuse Counseling","HopeSprings Counseling Services","HopeSprings Counseling Services offers counseling and wellness services for youth, adults, and families in the community who are experiencing difficulty in relationships, socialization, physical or mental wellness and emotional concerns. Following the mission of Cunningham Children's Home to nourish hope through effective solutions, HopeSprings' goal is not only to meet youth, adults, and families in an environment that leads to healing but, also, providing trauma-informed care that is focused on improving an individual's overall wellness rather than simply treating symptoms of mental health concerns.

Services/ counseling types include: 
- Individual counseling.
- Family counseling. 
- Group Sessions.
- School-based Services.
- Case Management.
- Wellness Coaching Services.
- ARC (attachment, self-regulation, and competency).
- Attachment Disorders.
- Attention Deficit Hyperactivity Disorder. 
- Child abuse, sex abuse, and neglect.
- Collaborative Problem-Solving.
- Domestic Violence and sexual assault. 
- Major depressive disorder, bi-polar disorder, and other mood disorders. 
- Neurosequential Model of Therapeutics (NMT). 
- Neurosequential Model of Education (NME).
- Oppositional Defiant and other Behavioral Disorders. 
- Parent/child relational issues.
- PTSD and other anxiety disorders.
- PracticeWise MAP.
- Chronic Stress. 
- Skills-streaming.
- Trauma-Informed Care (TIC).
- Trauma-Focused Cognitive Behavioral Therapy.",,,inactive,,"By phone.","All clients are considered on case by case to determine eligibility for services. Call for more information.",,"Photo ID, Proof of income, and insurance card will be needed at first appointment. Please note that a fee and client rights agreement will be signed at the date of first appointment.",,
48,10396,,"General Counseling Services","HopeSprings Counseling Services","HopeSprings Counseling Services offers counseling and wellness services for youth, adults, and families in the community who are experiencing difficulty in relationships, socialization, physical or mental wellness and emotional concerns. Following the mission of Cunningham Children's Home to nourish hope through effective solutions, HopeSprings' goal is not only to meet youth, adults, and families in an environment that leads to healing but, also, providing trauma-informed care that is focused on improving an individual's overall wellness rather than simply treating symptoms of mental health concerns.

Services/ counseling types include: 
- Individual counseling.
- Family counseling. 
- Group Sessions.
- School-based Services.
- Case Management.
- Wellness Coaching Services.
- ARC (attachment, self-regulation, and competency).
- Attachment Disorders.
- Attention Deficit Hyperactivity Disorder. 
- Child abuse, sex abuse, and neglect.
- Collaborative Problem-Solving.
- Domestic Violence and sexual assault. 
- Major depressive disorder, bi-polar disorder, and other mood disorders. 
- Neurosequential Model of Therapeutics (NMT). 
- Neurosequential Model of Education (NME).
- Oppositional Defiant and other Behavioral Disorders. 
- Parent/child relational issues.
- PTSD and other anxiety disorders.
- PracticeWise MAP.
- Chronic Stress. 
- Skills-streaming.
- Trauma-Informed Care (TIC).
- Trauma-Focused Cognitive Behavioral Therapy.",,,inactive,,"By phone.","All clients are considered on case by case to determine eligibility for services. Call for more information.",,"Photo ID, Proof of income, and insurance card will be needed at first appointment. Please note that a fee and client rights agreement will be signed at the date of first appointment.",,
49,10396,,"Psychiatric Disorder Counseling","HopeSprings Counseling Services","HopeSprings Counseling Services offers counseling and wellness services for youth, adults, and families in the community who are experiencing difficulty in relationships, socialization, physical or mental wellness and emotional concerns. Following the mission of Cunningham Children's Home to nourish hope through effective solutions, HopeSprings' goal is not only to meet youth, adults, and families in an environment that leads to healing but, also, providing trauma-informed care that is focused on improving an individual's overall wellness rather than simply treating symptoms of mental health concerns.

Services/ counseling types include: 
- Individual counseling.
- Family counseling. 
- Group Sessions.
- School-based Services.
- Case Management.
- Wellness Coaching Services.
- ARC (attachment, self-regulation, and competency).
- Attachment Disorders.
- Attention Deficit Hyperactivity Disorder. 
- Child abuse, sex abuse, and neglect.
- Collaborative Problem-Solving.
- Domestic Violence and sexual assault. 
- Major depressive disorder, bi-polar disorder, and other mood disorders. 
- Neurosequential Model of Therapeutics (NMT). 
- Neurosequential Model of Education (NME).
- Oppositional Defiant and other Behavioral Disorders. 
- Parent/child relational issues.
- PTSD and other anxiety disorders.
- PracticeWise MAP.
- Chronic Stress. 
- Skills-streaming.
- Trauma-Informed Care (TIC).
- Trauma-Focused Cognitive Behavioral Therapy.",,,inactive,,"By phone.","All clients are considered on case by case to determine eligibility for services. Call for more information.",,"Photo ID, Proof of income, and insurance card will be needed at first appointment. Please note that a fee and client rights agreement will be signed at the date of first appointment.",,
50,10451,,"Continuing Care Retirement Communities",,"Clark-Lindsey is a not-for-profit life plan community, or continuing care retirement community, located on the edge of the beautiful University of Illinois campus.
- The Village: Private apartments with amenities.
- Meadowbrook Health Center: Short-term and residential nursing care.
- Renewal Therapy Center: Rehabilitation, recovery and therapy services.
- The Green House Homes: Assisted living memory care and skilled nursing care.",http://www.clark-lindsey.com,,inactive,,,,,,,
51,10453,,"Pregnancy Counseling",,"Counselors can be reached via text, email or phone, and can meet the client at the location of their choosing for free and confidential options counseling. Clients are helped by exploring each option to decide which feels right for them and their baby.",http://www.holtsunnyridge.org,,inactive,,"By phone, walk-in, or appointment.","No eligibility requirements.",,"Photo ID.","No income guidelines.",
52,10453,,"Adoption Services",,"Holt-Sunny Ridge is a licensed adoption agency with the Department of Children and Family Services; both domestic and international adoption programs are available for families wishing to adopt a child. Also offers therapy for adopted children, teens, adult adoptees, adoptive parents, birth parents, and families.",,,inactive,,"By appointment.",,,"Specific documents vary depending on adoption program.",,
53,10468,,"Breast Milk Banks",,"Women interested in becoming milk donors should call the Mothers' Milk Bank to begin a screening process that includes a phone interview, application, check of medical records for the woman and her infant, and a blood test. Women who are approved are assigned a donor number and may donate containers of their frozen, pumped breast milk. From there, it is shipped to the Mothers' Milk Bank where it is tested and, if approved, then sent to NICU's in Illinois and Wisconsin.

Most of the donor milk that is distributed by the milk bank goes to premature or sick infants in a hospital setting. Women who need breast milk for their baby at home can also make a request, though it does require a prescription; these mothers should contact the Outreach Coordinator.",,,inactive,,"By phone, email, or website.",,,,,
54,1048,,"Mentoring Programs",,"COVID-19:
All services are being done remotely. E-mail for more information. 
--------------------------------

The mission of Big Brothers Big Sisters is to create and support one-to-one mentoring relationships that ignite the power and promise of youth. There are two basic programs:
- Community-Based Mentoring: The traditional Big Brothers Big Sisters relationship, focusing on one-on-one time spent with the volunteer and the young person doing things they enjoy, spending a few hours a several times a month filled with shared interests and activities.
- School-Based Mentoring: Volunteers offer children individualized time and attention on a consistent basis, with the venue being the child's school rather than the community. Teachers identify those children who can most benefit from an extra caring adult in their lives. Volunteers and children meet regularly during the school year - typically each week, utilizing the resources available within the school.",,h.peavler@bbbscil.org,inactive,,"By phone, walk-in.","Children between the ages of 5 and 12 are eligible to enroll for the community-based program. Families of Little Brothers and Little Sisters will also go through a training and screening process.",,,,
55,1048,,"Volunteer Opportunities",,"COVID-19:
All services are being done remotely. E-mail for more information. 
_______________________________________________________________________________

The volunteer's purpose is to provide quality mentoring services to children to help them achieve their highest potential.
Opportunities include: 
- Community Based Mentoring - Spending time with a child on evenings and weekends. 
- School Based Mentoring - Spending one hour/week with a child on school property during school hours throughout the school year.",,h.peavler@bbbscil.org,inactive,,,"Individuals who wish to become a volunteer Big Brother or Big Sister must be screened and trained prior to matching. A minimum of a one-year commitment is required for all programs. Volunteers must be at least 16 years of age and have their own transportation. Volunteers of all backgrounds are needed.",,,,
56,10527,,"Advocacy * Seasonal Workers","Free Legal Services for Immigrants","COVID-19:
There may be some emergency funds available to help supplement lost wages. Will provide information and referral to the Latino low-income population in finding the appropriate service and provider; i.e., unemployment, food pantries, cash assitance, affordable health care, legal assistance, etc.
-------------------------------
The mission of the Farmworker and Landscaper Advocacy Project (FLAP) -Proyecto de Ayuda para Trabajadores del Campo y Jardineros-  is to improve working conditions in Illinois for low-income landscapers, snow plowing workers, packinghouse workers, cannery workers, restaurant workers, farmworkers, nursery workers, greenhouse workers, meat and poultry workers and their households.

FLAP carries out this mission through community outreach and education, litigation, community legal education, information and referrals and partnering with other organizations to fight human labor trafficking.",,,inactive,,"By phone, email, or USPS mail.",,,,,970915508638448
57,10527,,"Information and Referral * Seasonal Workers","Free Legal Services for Immigrants","COVID-19:
There may be some emergency funds available to help supplement lost wages. Will provide information and referral to the Latino low-income population in finding the appropriate service and provider; i.e., unemployment, food pantries, cash assitance, affordable health care, legal assistance, etc.
-------------------------------
The mission of the Farmworker and Landscaper Advocacy Project (FLAP) -Proyecto de Ayuda para Trabajadores del Campo y Jardineros-  is to improve working conditions in Illinois for low-income landscapers, snow plowing workers, packinghouse workers, cannery workers, restaurant workers, farmworkers, nursery workers, greenhouse workers, meat and poultry workers and their households.

FLAP carries out this mission through community outreach and education, litigation, community legal education, information and referrals and partnering with other organizations to fight human labor trafficking.",,,inactive,,"By phone, email, or USPS mail.",,,,,
58,10527,,"Immigration/Naturalization Legal Services","Free Legal Services for Immigrants","COVID-19:
There may be some emergency funds available to help supplement lost wages. Will provide information and referral to the Latino low-income population in finding the appropriate service and provider; i.e., unemployment, food pantries, cash assitance, affordable health care, legal assistance, etc.
-------------------------------
The mission of the Farmworker and Landscaper Advocacy Project (FLAP) -Proyecto de Ayuda para Trabajadores del Campo y Jardineros-  is to improve working conditions in Illinois for low-income landscapers, snow plowing workers, packinghouse workers, cannery workers, restaurant workers, farmworkers, nursery workers, greenhouse workers, meat and poultry workers and their households.

FLAP carries out this mission through community outreach and education, litigation, community legal education, information and referrals and partnering with other organizations to fight human labor trafficking.",,,inactive,,"By phone, email, or USPS mail.",,,,,917725171609009
59,10527,,"Temporary Financial Assistance * Seasonal Workers","Free Legal Services for Immigrants","COVID-19:
There may be some emergency funds available to help supplement lost wages. Will provide information and referral to the Latino low-income population in finding the appropriate service and provider; i.e., unemployment, food pantries, cash assitance, affordable health care, legal assistance, etc.
-------------------------------
The mission of the Farmworker and Landscaper Advocacy Project (FLAP) -Proyecto de Ayuda para Trabajadores del Campo y Jardineros-  is to improve working conditions in Illinois for low-income landscapers, snow plowing workers, packinghouse workers, cannery workers, restaurant workers, farmworkers, nursery workers, greenhouse workers, meat and poultry workers and their households.

FLAP carries out this mission through community outreach and education, litigation, community legal education, information and referrals and partnering with other organizations to fight human labor trafficking.",,,inactive,,"By phone, email, or USPS mail.",,,,,1077790582995406
